1606226400000,19167.81000000,19191.91000000,19095.00000000,19144.57000000,1124.84723800,1606227299999,21532871.52854638,23105,525.24669700,10054454.40489918,0
1606227300000,19144.57000000,19253.62000000,19112.04000000,19247.94000000,941.12551600,1606228199999,18082031.55857168,19412,533.51154900,10249961.59586214,0
1606228200000,19247.94000000,19310.34000000,19225.96000000,19310.34000000,1226.23418800,1606229099999,23626878.70176799,20420,708.19234300,13649308.36040278,0
1606229100000,19310.34000000,19389.00000000,19290.86000000,19384.43000000,1730.30209400,1606229999999,33476725.95295018,28938,947.85398300,18339390.48286674,0
1606230000000,19384.43000000,19418.97000000,19320.00000000,19387.51000000,1598.29431800,1606230899999,30973353.36703264,25025,764.69551500,14819812.84654983,0
1606230900000,19387.51000000,19404.99000000,19287.63000000,19319.35000000,1323.32665600,1606231799999,25589064.48903337,19581,565.11642600,10928411.18906873,0
1606231800000,19319.36000000,19357.00000000,19258.00000000,19348.61000000,1156.00784300,1606232699999,22317301.09043789,20613,588.00859600,11352500.33509300,0
1606232700000,19348.62000000,19364.50000000,19220.00000000,19358.57000000,1473.75967500,1606233599999,28472341.99291142,21937,570.14727200,11019476.69529803,0
1606233600000,19358.56000000,19410.00000000,19290.00000000,19399.18000000,1666.60169700,1606234499999,32283842.90746353,29063,803.83006800,15576064.78366537,0
1606234500000,19399.17000000,19409.99000000,19200.38000000,19212.85000000,1542.26638600,1606235399999,29776589.98196462,30696,707.24322700,13657756.12169120,0
1606235400000,19212.85000000,19292.63000000,19074.40000000,19287.00000000,2126.85382200,1606236299999,40854276.19225256,37829,1001.94218100,19251207.41604654,0
1606236300000,19286.99000000,19316.61000000,19233.08000000,19296.13000000,1231.39095000,1606237199999,23736878.71654384,22402,419.16861500,8081204.31164386,0
1606237200000,19296.14000000,19339.70000000,19285.33000000,19295.28000000,922.32548900,1606238099999,17814699.21054686,15427,317.57357000,6134027.17880435,0
1606238100000,19295.28000000,19300.00000000,19191.98000000,19211.64000000,798.68585900,1606238999999,15373610.34140257,17347,378.38721800,7283454.99416629,0
1606239000000,19211.64000000,19290.92000000,19138.49000000,19283.52000000,1014.69209400,1606239899999,19488059.01406351,22009,518.50555800,9961024.06340075,0
1606239900000,19283.51000000,19300.00000000,19180.00000000,19204.64000000,766.72156000,1606240799999,14754867.70347316,18590,431.22687900,8298673.27989377,0
1606240800000,19200.91000000,19257.28000000,19165.63000000,19213.25000000,732.50117400,1606241699999,14082096.04656618,17791,375.70018900,7223193.07737852,0
1606241700000,19213.26000000,19239.97000000,19150.00000000,19185.46000000,852.72447300,1606242599999,16358456.11854345,16062,424.95692100,8151056.25399749,0
1606242600000,19185.45000000,19262.91000000,19177.91000000,19228.63000000,785.62345500,1606243499999,15090366.21964311,14356,442.31569300,8496679.29429173,0
1606243500000,19229.33000000,19262.97000000,19195.54000000,19254.42000000,615.35131300,1606244399999,11834569.92782494,12454,288.92779300,5556102.10842783,0
1606244400000,19254.42000000,19266.00000000,19233.62000000,19255.01000000,438.91796900,1606245299999,8450254.11026293,10924,195.57168000,3765152.09532121,0
1606245300000,19255.01000000,19277.63000000,19225.84000000,19267.71000000,595.48446800,1606246199999,11463663.90487050,13878,291.65052500,5614178.76537140,0
1606246200000,19267.72000000,19270.00000000,19218.66000000,19241.41000000,626.70552500,1606247099999,12060609.89232329,12835,268.64218300,5169280.57279441,0
1606247100000,19241.41000000,19250.33000000,19160.00000000,19160.01000000,594.76008400,1606247999999,11429587.99494091,14622,218.10575000,4190174.62783624,0
1606248000000,19160.01000000,19248.28000000,18925.51000000,19229.55000000,1880.59884500,1606248899999,35917580.53503016,32415,820.33367400,15669393.97447789,0
1606248900000,19229.56000000,19232.30000000,19053.07000000,19085.35000000,816.31082100,1606249799999,15636873.78567074,18125,393.19112500,7532709.01501840,0
1606249800000,19085.34000000,19104.92000000,18988.00000000,19064.77000000,1417.26178800,1606250699999,26989229.07415090,24196,560.58555200,10674662.85042749,0
1606250700000,19064.77000000,19092.65000000,18989.01000000,19057.68000000,750.99332900,1606251599999,14299476.66986170,17493,372.40344500,7091236.42372072,0
1606251600000,19057.69000000,19122.27000000,19036.66000000,19111.98000000,687.19402600,1606252499999,13119205.57657221,13957,308.12226500,5882368.84755232,0
1606252500000,19111.99000000,19120.37000000,18900.00000000,19021.58000000,1336.76210900,1606253399999,25375804.23854643,23416,563.45315100,10694882.73980487,0
1606253400000,19021.59000000,19057.81000000,18975.89000000,18996.01000000,730.98089900,1606254299999,13900686.36571734,16324,343.52589000,6533661.67459892,0
1606254300000,18996.02000000,19001.86000000,18842.31000000,18939.30000000,1279.83172000,1606255199999,24199103.83063129,25577,516.40523700,9765526.52939772,0
1606255200000,18939.30000000,19086.57000000,18857.00000000,19028.36000000,751.92679000,1606256099999,14280854.82466982,23670,380.24297400,7223301.58803202,0
